# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_simple_otat1
# Exported by: Badger
setting:	replacespawns 1
weapon_ttt_smokegrenade	365.856354 -1191.747681 -127.816277	-1.495 -1.449 -1.075
weapon_ttt_smokegrenade	366.173035 -1177.295898 -127.829689	-1.930 -1.379 -1.389
weapon_ttt_smokegrenade	359.761017 -1162.031494 -127.819870	-1.612 -1.436 -1.159
weapon_ttt_smokegrenade	346.312042 -1161.788208 -127.813591	-1.408 -1.452 -1.012
weapon_ttt_smokegrenade	327.903412 -1159.256836 -127.829689	-1.930 -1.379 -1.389
weapon_ttt_smokegrenade	314.212402 -1158.006958 -127.849327	-2.570 -1.160 -1.850
weapon_ttt_smokegrenade	301.194611 -1158.603882 -127.835297	-2.113 -1.347 -1.520
weapon_ttt_smokegrenade	288.912781 -1159.508911 -127.823753	-1.741 -1.420 -1.248
weapon_ttt_smokegrenade	273.911560 -1160.363037 -127.837280	-2.177 -1.339 -1.567
ttt_random_weapon	589.777893 -2092.761230 513.229065	1.354 4.834 -93.879
ttt_random_weapon	544.297302 -2093.733887 513.219666	1.653 4.989 -93.105
ttt_random_weapon	548.089966 -2125.246338 513.215637	1.673 4.462 -93.159
ttt_random_weapon	594.248352 -2132.286621 513.192322	0.754 4.890 -93.783
ttt_random_weapon	575.017212 -2111.553467 513.236755	1.460 4.970 -93.548
ttt_random_weapon	-348.034607 -1051.274414 257.220093	1.649 4.988 -93.116
ttt_random_weapon	-339.714020 -1073.294434 257.185760	1.869 6.710 -93.265
ttt_random_weapon	-337.744019 -1096.921997 257.219666	1.654 5.482 -93.104
ttt_random_weapon	-291.468964 -1081.066040 257.241333	1.408 4.942 -93.667
ttt_random_weapon	-293.078552 -1057.672729 257.224030	1.604 4.954 -93.218
ttt_random_weapon	265.220306 -1089.432861 385.222137	1.625 4.988 -93.169
ttt_random_weapon	265.825867 -1115.577026 385.225433	1.588 4.986 -93.254
ttt_random_weapon	252.182510 -1138.567627 385.220947	1.639 4.988 -93.138
ttt_random_weapon	206.596771 -1104.949829 385.219238	1.658 4.987 -93.094
ttt_random_weapon	210.210449 -1082.432129 385.222931	1.617 4.988 -93.189
ttt_random_weapon	244.958420 -1046.106689 385.220093	1.648 4.988 -93.116
ttt_random_weapon	217.151123 -1126.929321 385.223663	1.608 4.988 -93.208
ttt_random_weapon	554.423584 -5.295698 253.218384	1.668 7.412 -93.072
ttt_random_weapon	520.530212 -63.734623 253.220963	1.639 7.411 -93.139
ttt_random_weapon	488.979431 -20.870363 253.180771	2.091 7.422 -92.102
ttt_random_weapon	450.508057 32.511414 253.203384	1.837 7.418 -92.685
ttt_random_weapon	419.965881 -11.656424 253.185684	2.036 7.423 -92.228
ttt_random_weapon	446.131989 -78.512726 253.225464	1.588 7.409 -93.255
ttt_random_weapon	498.302124 -93.055962 253.236069	1.468 7.403 -93.530
ttt_random_weapon	585.967285 -96.051964 253.191116	1.975 7.422 -92.368
ttt_random_weapon	598.527039 -45.766010 253.235519	1.474 7.403 -93.516
ttt_random_weapon	599.869019 11.482137 253.204071	1.829 7.418 -92.702
ttt_random_weapon	592.485168 70.060158 253.207275	1.793 7.417 -92.785
ttt_random_weapon	538.586914 81.485489 253.212479	1.735 7.415 -92.919
ttt_random_weapon	430.380798 86.115631 253.196854	1.910 7.420 -92.516
ttt_random_weapon	719.752502 593.384155 385.217896	1.673 4.988 -93.059
ttt_random_weapon	712.136658 548.349182 385.221344	1.634 4.988 -93.148
ttt_random_weapon	671.130798 595.261047 385.228333	1.556 4.984 -93.329
ttt_random_weapon	667.338318 555.811707 385.229767	1.539 4.982 -93.366
ttt_random_weapon	664.683655 533.220886 385.237762	1.449 4.968 -93.574
ttt_random_weapon	517.320984 362.108856 161.225098	1.592 4.986 -93.245
ttt_random_weapon	509.241699 352.311798 161.222137	1.625 4.988 -93.169
ttt_random_weapon	298.953430 306.391632 129.224030	1.604 4.987 -93.218
ttt_random_weapon	299.403320 336.044769 129.236420	1.464 4.971 -93.539
ttt_random_weapon	292.464417 196.022873 129.230560	1.530 4.980 -93.387
ttt_random_weapon	303.032104 218.102722 129.206573	1.475 4.579 -93.155
ttt_random_weapon	301.372437 237.346268 129.218353	1.668 4.987 -93.071
ttt_random_weapon	-304.835968 -54.022251 -254.779480	1.644 4.988 -93.127
ttt_random_weapon	-304.213470 -77.245819 -254.784470	1.700 4.986 -92.998
ttt_random_weapon	-326.372223 -96.570435 -254.775970	1.604 4.987 -93.218
ttt_random_weapon	-349.196289 -40.347492 -254.358063	-0.830 9.692 82.690
ttt_random_weapon	-306.318176 -28.988750 -254.775330	1.447 4.695 -93.406
ttt_random_weapon	-307.419159 -7.370488 -254.773895	1.581 4.986 -93.272
ttt_random_weapon	-323.592499 -36.693581 -254.089981	5.441 1.107 -96.726
ttt_random_weapon	-326.400909 -66.555962 -254.768661	1.521 4.979 -93.407
ttt_random_weapon	-415.876831 -202.350098 -215.294662	1.815 4.619 -92.734
ttt_random_weapon	-427.127014 -214.585510 -215.304779	1.929 4.625 -92.473
ttt_random_weapon	-223.007126 723.419678 257.162018	2.200 5.376 -92.261
ttt_random_weapon	-199.955215 717.593750 257.730743	-1.836 -0.713 84.914
ttt_random_weapon	-194.853333 692.436340 257.220947	1.639 4.988 -93.138
ttt_random_weapon	-222.270767 683.074158 257.233887	1.492 4.975 -93.474
ttt_random_weapon	-169.166458 726.426514 257.231079	1.524 4.980 -93.401
ttt_random_weapon	-181.641190 743.748779 257.218811	1.663 4.987 -93.083
ttt_random_weapon	-209.461746 564.878540 257.234314	1.488 4.975 -93.485
ttt_random_weapon	-208.142075 594.185791 257.227081	1.569 4.985 -93.297
ttt_random_weapon	-192.691513 611.313843 257.221344	1.634 4.988 -93.148
ttt_random_weapon	-180.817673 582.551392 257.217896	1.673 4.988 -93.059
ttt_random_weapon	1088.654175 183.324966 129.197784	1.350 3.046 -93.359
ttt_random_weapon	1076.724609 190.598373 130.183838	-3.034 -11.484 -101.954
ttt_random_weapon	1080.272339 211.048660 129.248032	1.332 4.830 -93.840
ttt_random_weapon	1100.639526 206.457977 129.698334	-1.480 0.189 84.178
ttt_random_weapon	1133.478760 218.899429 129.229477	1.542 4.982 -93.359
ttt_random_weapon	1128.126099 192.495255 129.209351	1.777 4.955 -92.826
ttt_random_weapon	1487.883667 -49.316532 257.231354	1.521 4.979 -93.407
ttt_random_weapon	1460.738281 -42.945683 257.220093	1.648 4.988 -93.116
ttt_random_weapon	1465.812256 -17.584909 257.214508	1.397 -1.717 -93.351
ttt_random_weapon	1493.500488 -8.416006 257.236786	1.460 2.350 -93.548
ttt_random_weapon	1488.828979 -25.339268 257.214539	1.712 4.981 -92.972
ttt_random_weapon	1329.040283 -83.679192 125.231071	1.524 4.598 -93.400
ttt_random_weapon	1363.721802 -87.808212 125.217873	1.674 4.614 -93.058
ttt_random_weapon	1357.838623 -54.263313 125.217415	1.679 4.614 -93.047
ttt_random_weapon	1328.108887 -32.580780 125.230011	1.536 4.599 -93.373
ttt_random_weapon	1337.312866 -14.759861 125.224365	1.600 4.608 -93.227
ttt_random_weapon	1377.202393 -18.341400 125.230011	1.536 4.599 -93.373
ttt_random_weapon	1370.062988 -43.393879 125.232773	1.505 4.594 -93.444
ttt_random_weapon	1362.084961 -958.551270 385.227722	1.562 4.984 -93.313
ttt_random_weapon	1349.027832 -949.285645 385.219696	1.653 4.989 -93.105
ttt_random_weapon	1352.206299 -914.626038 385.217896	1.673 4.988 -93.059
ttt_random_weapon	1320.766846 -935.002319 385.232330	1.510 4.978 -93.433
ttt_random_weapon	1317.442871 -967.108093 385.227417	1.566 4.984 -93.305
ttt_random_weapon	1337.164551 -982.824524 385.226776	1.573 4.985 -93.289
ttt_random_weapon	1363.397095 -993.129028 385.225098	1.592 4.986 -93.245
ttt_random_weapon	1535.574341 -1011.075928 513.228333	1.556 4.984 -93.329
ttt_random_weapon	1569.391602 -1022.121826 513.223633	1.608 4.988 -93.208
ttt_random_weapon	1553.437134 -1049.738647 513.233032	1.502 4.977 -93.451
ttt_random_weapon	1514.322510 -1041.978516 513.233887	1.492 4.975 -93.474
ttt_random_weapon	1553.662231 -1077.766846 513.220093	1.648 4.988 -93.116
ttt_random_weapon	1584.100952 -1080.634155 513.232483	1.461 4.948 -93.889
ttt_random_weapon	1477.268311 -992.056641 565.243225	1.337 -2.039 -93.846
ttt_random_weapon	1475.135986 -967.350586 565.218323	1.668 4.987 -93.071
ttt_random_weapon	1482.515259 -946.274841 565.235718	1.472 4.972 -93.520
ttt_random_weapon	1466.486084 -986.877258 566.555969	-1.068 -1.195 -115.138
ttt_random_weapon	1466.639282 -1222.302856 565.220886	1.289 5.664 -93.538
ttt_random_weapon	1462.331665 -1210.684692 565.223267	1.612 4.987 -93.199
ttt_random_weapon	1460.454834 -1191.795410 565.223267	1.612 4.987 -93.199
ttt_random_weapon	1453.696045 -927.954224 385.240326	1.420 4.962 -93.640
ttt_random_weapon	1452.435547 -961.296021 385.227722	1.562 4.984 -93.313
ttt_random_weapon	1458.655762 -985.478455 385.224762	1.596 4.987 -93.236
ttt_random_weapon	1450.649902 -947.740356 385.214539	1.712 4.981 -92.972
ttt_random_weapon	1484.800659 -945.806763 385.219666	1.653 4.989 -93.105
ttt_random_weapon	1495.620605 -920.791077 385.226776	1.573 4.985 -93.289
ttt_random_weapon	1496.447998 -958.857727 385.228027	1.559 4.984 -93.321
ttt_random_weapon	1611.855957 -1238.184326 257.251984	1.246 5.337 -93.991
ttt_random_weapon	1583.979370 -1243.351074 258.026276	-2.885 1.782 -93.713
ttt_random_weapon	1581.680664 -1219.167358 257.185760	1.706 5.377 -93.074
ttt_random_weapon	1582.009521 -1184.194824 257.232086	1.513 4.978 -93.427
ttt_random_weapon	1538.770264 -1227.615479 257.168793	2.182 2.604 -92.070
ttt_random_weapon	1540.335693 -1218.965820 257.236755	1.460 4.970 -93.548
ttt_random_weapon	1541.757690 -1199.258057 257.217896	1.673 4.988 -93.059
ttt_random_weapon	1422.384766 -1078.195679 257.247620	1.328 5.302 -93.840
ttt_random_weapon	1440.381348 -1090.719971 257.220093	1.648 4.988 -93.116
ttt_random_weapon	1428.455322 -1109.473999 257.240997	1.263 4.854 -93.802
ttt_random_weapon	1444.998291 -1062.874268 257.215027	1.706 4.987 -92.985
ttt_random_weapon	1416.031860 -1053.577759 257.215027	1.706 4.917 -92.985
ttt_random_weapon	1404.543701 -1070.487305 257.657379	-0.990 17.045 82.992
ttt_random_weapon	1404.169922 -1112.583130 258.207947	-3.636 6.919 -93.473
ttt_random_weapon	416.174866 -1104.964966 129.227081	1.569 4.985 -93.297
ttt_random_weapon	451.949921 -1110.338501 129.227707	1.562 4.984 -93.313
ttt_random_weapon	433.591644 -1081.448120 129.239578	1.428 4.964 -93.621
ttt_random_weapon	447.760834 -1054.365967 129.216019	1.695 4.985 -93.011
ttt_random_weapon	741.301575 -1051.522949 1.225776	1.584 4.986 -93.263
ttt_random_weapon	706.419373 -1055.734253 1.232557	1.508 4.977 -93.439
ttt_random_weapon	679.360535 -1076.192261 1.224026	1.604 4.987 -93.218
ttt_random_weapon	716.210999 -1085.763794 1.218355	1.668 4.987 -93.071
ttt_random_weapon	734.599548 -1103.112305 1.236246	1.466 4.971 -93.535
ttt_random_weapon	710.542175 -1129.409668 1.224026	1.604 4.987 -93.218
ttt_random_weapon	681.414124 -1113.793457 1.227399	1.566 4.984 -93.305
ttt_random_weapon	344.796692 -930.854797 1.221341	1.634 4.988 -93.148
ttt_random_weapon	342.199005 -961.561523 1.218801	1.663 4.987 -93.083
ttt_random_weapon	351.671753 -978.013367 1.217442	1.679 4.988 -93.047
ttt_random_weapon	-41.570518 -1061.710938 129.221344	1.634 4.988 -93.148
ttt_random_weapon	-84.079674 -1063.903687 129.221344	1.634 4.988 -93.148
ttt_random_weapon	-119.079185 -1049.889404 129.228012	1.559 4.925 -93.321
ttt_random_weapon	-125.125877 -1078.479858 129.210327	1.759 4.757 -92.864
ttt_random_weapon	-91.718842 -1090.664917 129.227707	1.562 4.984 -93.313
ttt_random_weapon	-53.902149 -1095.058228 129.224380	1.600 4.987 -93.227
ttt_random_weapon	343.140106 -2200.020752 416.728790	1.334 5.732 -93.625
ttt_random_weapon	320.746704 -2204.020752 417.156403	-2.113 -8.264 84.481
ttt_random_weapon	295.487213 -2203.405518 417.476196	-3.601 -21.628 -94.733
ttt_random_weapon	301.822113 -2214.402588 416.712921	1.728 6.710 -92.933
ttt_random_weapon	35.834480 -2209.876709 257.223297	1.612 4.987 -93.199
ttt_random_weapon	50.617744 -2225.655273 257.215546	1.700 4.986 -92.998
ttt_random_weapon	41.005554 -2196.923096 257.229462	1.542 4.982 -93.359
ttt_random_weapon	75.500267 -2202.145020 257.222137	1.625 4.988 -93.169
ttt_random_weapon	87.003334 -2221.565186 257.218811	1.663 4.987 -93.083
ttt_random_weapon	500.702545 -2484.382080 129.220932	1.639 4.982 -93.138
ttt_random_weapon	528.163025 -2462.570068 129.214539	1.712 4.981 -92.972
ttt_random_weapon	500.730988 -2449.239990 129.216019	1.695 4.985 -93.011
ttt_random_weapon	478.858673 -2460.276123 129.233566	1.341 4.951 -93.642
ttt_random_weapon	107.458336 -2501.249023 129.216019	1.695 4.985 -93.011
ttt_random_weapon	69.947334 -2512.686035 129.220642	1.525 4.032 -93.855
ttt_random_weapon	32.065102 -2499.173584 129.219238	1.658 4.987 -93.094
ttt_random_weapon	57.480339 -2481.373535 129.226761	1.573 4.985 -93.289
ttt_random_weapon	46.168297 -2518.011963 130.277145	-3.902 1.548 -95.050
ttt_random_weapon	-220.168701 -2087.806885 1.225092	1.592 4.986 -93.245
ttt_random_weapon	-214.020462 -2122.318604 1.225093	1.592 4.986 -93.245
ttt_random_weapon	-175.618912 -2096.337402 1.223660	1.608 4.988 -93.208
ttt_random_weapon	-154.077362 -2119.336182 1.220101	1.648 4.988 -93.116
ttt_random_weapon	-149.040955 738.617981 32.747742	1.332 5.583 -93.841
ttt_random_weapon	-182.128754 733.480896 32.747726	1.332 5.550 -93.840
ttt_random_weapon	-221.037155 729.747314 32.747704	1.332 5.530 -93.840
ttt_random_weapon	-231.971481 711.709473 32.747501	1.334 5.558 -93.836
ttt_random_weapon	-232.280548 691.054138 32.675385	2.147 9.791 -91.976
ttt_random_weapon	-232.131638 667.029968 32.744362	1.344 12.470 -93.812
ttt_random_weapon	293.793518 226.566544 129.233856	1.357 3.982 -93.628
ttt_random_ammo	544.303284 -2110.922363 512.363464	0.291 0.003 0.233
ttt_random_ammo	551.386841 -2103.218506 512.355225	0.307 0.003 0.250
ttt_random_ammo	583.059570 -2085.705322 514.665588	0.108 1.549 -89.850
ttt_random_ammo	593.678955 -2082.461670 512.357361	0.303 0.003 0.246
ttt_random_ammo	584.806458 -2121.792725 512.332825	0.047 0.000 -0.028
ttt_random_ammo	577.186340 -2122.786133 512.330383	0.047 0.000 -0.029
ttt_random_ammo	599.169434 -2138.195557 512.403015	-0.282 0.003 -0.085
ttt_random_ammo	584.684692 -2146.257324 512.431152	1.466 0.034 1.786
ttt_random_ammo	556.266174 -2134.165039 512.358459	-0.060 0.000 -0.001
ttt_random_ammo	541.643311 -2134.683594 512.346558	0.325 0.003 0.267
ttt_random_ammo	-338.129425 -1025.307861 256.327881	0.047 0.000 -0.031
ttt_random_ammo	-338.217163 -1017.354858 256.367310	0.084 0.000 0.035
ttt_random_ammo	-325.312164 -1024.330200 256.371613	-0.284 0.003 -0.225
ttt_random_ammo	-326.036194 -1017.442566 256.443817	1.146 0.029 1.392
ttt_random_ammo	-309.280823 -1027.718506 256.339996	0.048 0.000 -0.023
ttt_random_ammo	-305.658661 -1018.947632 256.455231	-0.112 -0.292 0.143
ttt_random_ammo	-318.278229 -1007.856506 256.427277	1.558 0.038 1.898
ttt_random_ammo	-339.294189 -1004.736755 256.337646	0.047 0.000 -0.025
ttt_random_ammo	-358.365356 -1017.167603 256.327881	0.047 0.000 -0.031
ttt_random_ammo	-356.647888 -1031.169800 256.337646	0.047 0.000 -0.025
ttt_random_ammo	242.261810 -1097.956421 384.361908	-0.303 0.003 -0.245
ttt_random_ammo	248.586990 -1080.093628 384.377869	0.150 0.001 0.121
ttt_random_ammo	235.218964 -1111.787598 384.340179	-0.351 0.003 -0.287
ttt_random_ammo	227.570755 -1094.976074 384.349060	0.052 0.000 -0.014
ttt_random_ammo	235.743469 -1075.235229 384.357544	0.061 0.000 0.002
ttt_random_ammo	266.307648 -1061.723022 384.353607	-0.321 0.003 -0.262
ttt_random_ammo	238.786743 -1062.832886 384.377106	-0.274 0.003 -0.211
ttt_random_ammo	207.107956 -1061.583984 384.394562	1.294 0.020 1.520
ttt_random_ammo	210.351425 -936.169983 432.374512	0.123 0.000 0.086
ttt_random_ammo	214.923203 -954.366760 432.355469	0.057 0.000 -0.003
ttt_random_ammo	186.661636 -953.037598 432.392975	0.722 0.007 0.824
ttt_random_ammo	281.156128 -929.748596 432.327881	0.047 0.000 -0.031
ttt_random_ammo	290.022095 -944.731079 432.407196	0.388 0.003 -0.086
ttt_random_ammo	301.374939 -933.535156 432.325348	0.047 0.000 -0.032
ttt_random_ammo	426.872192 -932.876831 432.357544	0.060 0.000 0.001
ttt_random_ammo	451.737793 -929.615417 432.355469	0.057 0.000 -0.004
ttt_random_ammo	450.911133 -950.336548 432.322784	0.047 0.000 -0.033
ttt_random_ammo	475.764709 44.426575 252.385986	0.374 -0.001 -0.487
ttt_random_ammo	519.328674 43.446491 252.363876	0.032 -0.000 -0.079
ttt_random_ammo	557.264648 37.482567 252.317764	0.024 0.000 -0.026
ttt_random_ammo	566.791321 -35.013123 252.360260	-0.020 0.000 -0.067
ttt_random_ammo	478.516785 -61.967239 252.360260	-0.020 0.000 -0.066
ttt_random_ammo	456.079865 -25.242849 252.391052	1.233 -0.014 -1.523
ttt_random_ammo	541.581238 -75.911926 252.470963	-0.707 -0.019 0.895
ttt_random_ammo	531.140625 13.474668 252.370499	-0.062 -0.000 0.115
ttt_random_ammo	483.762146 1.564766 252.333466	-0.018 -0.000 -0.029
ttt_random_ammo	489.604553 63.135910 252.383499	0.281 -0.001 -0.375
ttt_random_ammo	516.080017 98.883545 252.384811	0.322 -0.001 -0.424
ttt_random_ammo	590.914124 90.507065 252.397598	1.578 -0.025 -1.944
ttt_random_ammo	676.407532 578.882324 384.357361	0.303 0.003 0.246
ttt_random_ammo	697.901550 572.902832 384.467712	-0.640 0.021 -0.760
ttt_random_ammo	689.121826 558.123901 384.374512	0.123 0.000 0.087
ttt_random_ammo	713.542664 561.096863 384.327881	0.047 0.000 -0.031
ttt_random_ammo	740.692810 575.600647 384.367340	0.085 0.000 0.036
ttt_random_ammo	732.123230 542.407959 384.317474	0.047 0.000 -0.035
ttt_random_ammo	706.476501 530.507080 384.395416	-0.262 0.003 -0.143
ttt_random_ammo	699.024719 604.505554 384.444855	1.377 -0.026 -1.484
ttt_random_ammo	674.930298 612.045532 384.413086	0.701 0.001 -0.505
ttt_random_ammo	641.541321 596.905396 384.406128	0.360 0.003 -0.047
ttt_random_ammo	655.456177 569.917053 384.371155	0.277 0.003 0.216
ttt_random_ammo	544.218323 285.983856 128.470428	0.566 0.020 0.689
ttt_random_ammo	532.303040 285.821747 128.424774	1.575 0.041 1.914
ttt_random_ammo	568.581482 286.469330 128.340012	0.048 0.000 -0.023
ttt_random_ammo	546.919434 299.555664 128.355453	0.057 0.000 -0.003
ttt_random_ammo	269.013275 212.673111 128.385757	-0.262 0.003 -0.186
ttt_random_ammo	276.830048 232.520401 128.346848	0.050 0.000 -0.017
ttt_random_ammo	279.606659 211.225006 128.367325	0.084 0.000 0.036
ttt_random_ammo	292.345032 204.789444 128.370972	0.102 0.000 0.059
ttt_random_ammo	-344.336334 -64.880974 -255.655396	0.049 0.000 -0.019
ttt_random_ammo	-346.012146 -36.794277 -255.521606	0.311 -2.993 0.014
ttt_random_ammo	-361.690918 -48.876858 -255.679871	0.047 0.000 -0.034
ttt_random_ammo	-355.946594 -65.982513 -255.619019	0.196 0.001 0.178
ttt_random_ammo	-380.515930 -53.392193 -255.669617	0.047 0.000 -0.030
ttt_random_ammo	-374.574738 -32.353451 -255.627243	0.112 0.000 0.072
ttt_random_ammo	-231.098923 698.260132 256.346832	0.050 0.000 -0.017
ttt_random_ammo	-209.947769 701.624573 256.393982	0.979 0.012 1.137
ttt_random_ammo	-232.329865 716.732544 256.365417	0.078 0.000 0.027
ttt_random_ammo	-215.282700 745.296753 256.346832	0.050 0.000 -0.017
ttt_random_ammo	-199.722595 731.949585 256.448059	1.065 0.028 1.296
ttt_random_ammo	-161.609680 698.994263 256.444733	1.151 0.029 1.401
ttt_random_ammo	-175.740051 686.237366 256.438660	1.207 0.030 1.461
ttt_random_ammo	-192.711121 658.154541 256.392944	0.723 0.007 0.826
ttt_random_ammo	-191.725037 549.619690 256.434967	1.381 0.034 1.682
ttt_random_ammo	-216.182510 549.264465 256.363525	0.072 0.000 0.019
ttt_random_ammo	-177.042374 533.965332 256.359558	0.064 0.000 0.007
ttt_random_ammo	-166.527023 549.253784 256.444153	1.169 0.029 1.423
ttt_random_ammo	-203.778122 533.541687 256.417908	1.660 0.036 2.010
ttt_random_ammo	1080.000244 239.689682 128.399994	0.287 0.003 0.072
ttt_random_ammo	1069.067139 235.020447 128.426346	1.217 -0.613 -1.557
ttt_random_ammo	1075.103516 230.893631 128.490097	0.586 0.249 -0.710
ttt_random_ammo	1059.016968 214.362427 128.413925	1.279 -0.007 -1.230
ttt_random_ammo	1053.285645 222.665787 128.409271	0.440 0.003 -0.161
ttt_random_ammo	1063.792969 222.609146 128.413620	0.776 0.001 -0.600
ttt_random_ammo	1050.321899 196.680634 128.376587	0.268 0.003 0.202
ttt_random_ammo	1057.127441 189.769318 128.398651	0.279 0.003 0.088
ttt_random_ammo	1066.666748 161.583740 128.401306	0.296 0.003 0.055
ttt_random_ammo	1079.061523 164.424347 128.383469	0.260 0.003 0.181
ttt_random_ammo	1186.257202 -4.465413 384.394348	1.129 0.016 1.320
ttt_random_ammo	1176.323242 1.648698 384.355469	0.058 0.000 -0.003
ttt_random_ammo	1178.868286 13.631968 384.322754	0.047 0.000 -0.033
ttt_random_ammo	1189.782837 6.893093 384.417786	-0.108 0.188 0.240
ttt_random_ammo	1200.498535 -1.076225 384.361572	0.068 0.000 0.012
ttt_random_ammo	1200.812744 17.677950 384.400299	1.631 0.027 1.934
ttt_random_ammo	1190.205933 22.305752 384.392944	0.723 0.007 0.826
ttt_random_ammo	1170.900513 28.694532 384.335266	0.047 0.000 -0.027
ttt_random_ammo	1479.510742 -72.338089 256.376190	0.137 0.000 0.105
ttt_random_ammo	1458.906372 -70.258995 256.349060	0.052 0.000 -0.014
ttt_random_ammo	1467.591187 -56.520599 256.355469	0.058 0.000 -0.003
ttt_random_ammo	1320.133667 -57.042698 124.377838	-0.189 0.001 -0.416
ttt_random_ammo	1329.484497 -42.848389 124.354683	0.041 0.000 -0.170
ttt_random_ammo	1342.877563 -66.973618 124.377914	0.146 -0.219 0.131
